"Cuando","PM2_5","PM1","PM10"
"semana_pasada","14.7841938405797","11.0742753623188","19.9759963768116"
"ayer","21","17.625","25.625"
"hoy","25.4583333333333","21.875","30.25"
"proximo_dia","28.625","24.7916666666667","33.0833333333333"
"esta_semana","18.671875","14.8799412393162","23.1952457264957"
