"Cuando","Artemisia","Betula","Castanea","Chenopodiaceae_Amarantaceae","Cupressaceae_Taxaceae","Morus","Olea","Palmae","Pinus","Plantago","Platanus","Poaceae","Populus","Quercus","Urticaceae","Acacia","Acer","Alnus","Apiaceae","Brassicaceae","Cannabis","Casuarina","Compositae_otras","Corylus","Cyperaceae","Echium","Ericaceae","Fabaceae","Fraxinus","Juglans","Ligustrum","Liliaceae","Mercurialis","Myrtaceae","Pistacia","Rosacea","Rumex","Salix","Ulmus"
"semana_pasada","0","0","0","0","116.375","0.5","0","0","14.5","0","0.875","0.25","0.75","0","3.125","0","0","1.5","0","1.125","0","0","0","1.875","0","0","0","0","0.5","0","0","0","0.375","0","0","0","0.25","0","1.125"
"ayer","0","0","0","0","155","2","0","0","37","0","2","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0"
"hoy","0","0","0","0","119","1","0","0","30","0","5","0","0","0","0","0","0","6","0","1","0","0","0","12","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0"
"proximo_dia","0","1","0","0","146","0","0","0","61","0","7","0","4","0","4","0","0","10","0","0","0","0","0","13","2","0","0","0","8","0","0","0","0","0","0","0","0","0","1"
"esta_semana","0","0.125","0","0","84.125","1.75","0","0.375","55.375","0","21.75","0.25","2.75","0","2.5","0","0","3.625","0","0.25","0","0","0","3.375","0.375","0.25","0.25","0","1.625","0","0","0","0.5","0","0","0.125","0","0","0.25"
