"Cuando","SO2","CO","NO","NO2","NOx","O3"
"semana_pasada","1.20833333333333","0.152445652173913","9.53243518257105","32.5778279691323","46.2522292019575","46.773097826087"
"ayer","0","0.183333333333333","10.2608695652174","33.9565217391304","48.2173913043478","47.9166666666667"
"hoy","0","0.1875","8.43478260869565","37.4782608695652","48.7826086956522","44.5"
"proximo_dia","0","0.220833333333333","16.3478260869565","64.3913043478261","88.695652173913","26.8333333333333"
"esta_semana","1.60416666666667","0.0947916666666667","6.75283932552954","28.7289518301747","38.0073915366035","55.5567574786325"
